epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,111.592,0.59946,0.72981,0.99094,1,0.99941,0.995,0.87199,0.80943,1.1565,1.09066,0.000581,0.000581,0.000581
45,114.811,0.61467,0.65111,0.97776,0.99804,0.9697,0.99329,0.87931,0.94125,1.41741,1.22007,0.000548,0.000548,0.000548
46,117.169,0.55293,0.71409,0.97347,0.9972,0.9697,0.99329,0.87201,1.07879,1.355,1.30101,0.000515,0.000515,0.000515
47,119.399,0.61376,0.74104,1.0112,1,0.98854,0.995,0.88432,1.02492,1.11854,1.2201,0.000482,0.000482,0.000482
48,121.679,0.59793,0.73202,0.97524,1,0.99627,0.995,0.8831,0.8202,0.76674,1.06391,0.000449,0.000449,0.000449
49,123.936,0.55384,0.63547,0.96126,1,0.99791,0.995,0.8878,0.7255,0.69656,0.99597,0.000416,0.000416,0.000416
50,127.008,0.54545,0.66261,0.95563,1,0.99784,0.995,0.8991,0.69917,0.69342,0.96517,0.000383,0.000383,0.000383
51,131.051,0.50615,0.73165,0.93419,0.99814,0.9697,0.99329,0.89925,0.92732,0.89796,1.05942,0.00035,0.00035,0.00035
52,133.737,0.56355,0.84236,1.02792,0.99814,0.9697,0.98975,0.88088,1.05177,1.00507,1.14148,0.000317,0.000317,0.000317
53,135.887,0.48185,0.67797,0.92102,0.99644,0.9697,0.98915,0.88163,0.83144,0.92298,1.02959,0.000284,0.000284,0.000284
54,138.294,0.46549,0.64245,0.95687,0.99721,0.9697,0.99176,0.89725,0.62231,0.70726,0.94368,0.000251,0.000251,0.000251
55,141.263,0.49458,0.61324,0.97778,0.99742,0.9697,0.99329,0.912,0.5813,0.63328,0.92997,0.000218,0.000218,0.000218
56,143.432,0.44417,0.5994,0.92356,0.99765,0.9697,0.99412,0.9033,0.64338,0.64731,0.96227,0.000185,0.000185,0.000185
57,145.516,0.46729,0.60143,0.91689,1,0.99736,0.995,0.89288,0.67523,0.6675,0.98148,0.000152,0.000152,0.000152
58,147.579,0.47222,0.58192,0.95815,0.99758,0.9697,0.99412,0.89066,0.67872,0.65868,0.98812,0.000119,0.000119,0.000119
59,149.618,0.48314,0.58914,0.9149,0.99731,0.9697,0.99412,0.88565,0.72565,0.7159,1.00708,8.6e-05,8.6e-05,8.6e-05
60,152.342,0.40178,0.54191,0.86511,0.99706,0.9697,0.99412,0.89126,0.765,0.74758,1.0257,5.3e-05,5.3e-05,5.3e-05
