Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
05/09/2026 22:08:18,"22°54'36""S 43°9'45""W",Centro
05/09/2026 22:08:23,"23°0'28""S 43°27'51""W",Recreio dos Bandeirantes
05/09/2026 22:08:28,"22°55'57""S 43°22'27""W",Taquara
05/09/2026 22:09:04,"28°56'8""S 51°34'4""W",Santa Rita
05/09/2026 22:09:09,"30°1'41""S 51°9'46""W",Chácara das Pedras
05/09/2026 22:09:14,"27°39'47""S 52°16'18""W",Aeroporto
05/09/2026 22:09:17,"30°1'40""S 51°12'14""W",Moinhos de Vento
05/09/2026 22:09:36,"25°33'29""S 49°18'12""W",Tatuquara
05/09/2026 22:09:40,"25°30'29""S 49°19'55""W",Cidade Industrial de Curitiba
05/09/2026 22:09:46,"25°52'50""S 48°36'43""W",Mirim
05/09/2026 22:10:07,"12°59'21""S 38°26'53""W",Costa Azul
05/09/2026 22:11:34,"5°22'5""S 49°8'17""W",Marabá
05/09/2026 22:11:42,"6°45'47""S 51°2'59""W",Ourilândia do Norte
05/09/2026 22:11:59,"19°56'14""S 40°24'39""W",Cocal
05/09/2026 22:12:05,"19°49'35""S 40°6'2""W",Barra do Riacho
05/09/2026 22:12:24,"15°51'41""S 52°23'20""W",Barra do Garças
05/09/2026 22:12:31,"15°38'35""S 55°59'24""W",Pascoal Ramos
05/09/2026 22:12:35,"15°33'15""S 55°41'30""W",Cuiabá
05/09/2026 22:12:41,"14°22'36""S 56°24'2""W",Diamantino
05/09/2026 22:12:44,"11°37'57""S 50°41'21""W",São Félix do Araguaia
05/09/2026 22:13:05,"20°28'9""S 54°40'13""W",Taveirópolis
05/09/2026 22:13:21,"20°58'18""S 54°4'14""W",Anhanduí
