Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
05/09/2026 22:33:25,"22°59'39""S 43°32'49""W",Ilha de Guaratiba
05/09/2026 22:33:44,"19°54'33""S 43°59'21""W",Padre Eustáquio
05/09/2026 22:33:48,"19°55'33""S 43°55'53""W",Santa Efigênia
05/09/2026 22:34:30,"12°45'47""S 38°38'38""W",Ilha de Bom Jesus dos Passos
05/09/2026 22:35:03,"16°37'57""S 49°13'15""W",Vila Maria Rosa
05/09/2026 22:35:33,"8°50'3""S 36°28'17""W",São Pedro
05/09/2026 22:36:57,"6°7'4""S 50°0'11""W",Parauapebas
05/09/2026 22:37:28,"20°23'58""S 41°4'58""W",Venda Nova do Imigrante
05/09/2026 22:38:04,"20°45'42""S 54°26'52""W",Campo Grande
05/09/2026 22:38:10,"21°17'17""S 53°53'0""W",Anhanduí
