Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro,min_longitude,min_latitude,max_longitude,max_latitude
22/06/2026 00:00:00,-46.685000	-23.590000	-46.665000	-23.575000,Itaim_Bibi,-46.685,-23.59,-46.665,-23.575
22/06/2026 00:00:00,-46.669884	-23.580502	-46.633996	-23.552062,Av_Paulista,-46.669884,-23.580502,-46.633996,-23.552062
22/06/2026 00:00:00,-46.690000	-23.598000	-46.670000	-23.585000,Vila_Olimpia,-46.69,-23.598,-46.67,-23.585
22/06/2026 00:00:00,-46.704205	-23.574847	-46.674487	-23.558183,Pinheiros,-46.704205,-23.574847,-46.674487,-23.558183
22/06/2026 00:00:00,-46.699949	-23.620544	-46.682294	-23.596478,Brooklin,-46.699949,-23.620544,-46.682294,-23.596478
22/06/2026 00:00:00,-46.860248	-23.505565	-46.840035	-23.490924,Alphaville_Industrial,-46.860248,-23.505565,-46.840035,-23.490924
22/06/2026 00:00:00,-46.681131339	-23.5980107441	-46.6639652013	-23.585366627,Vila_nova_Conceicao,-46.681131339,-23.5980107441,-46.6639652013,-23.585366627
22/06/2026 00:00:00,-46.692633	-23.596674	-46.680058	-23.581694,Inter_Zonas,-46.692633,-23.596674,-46.680058,-23.581694
21/06/2026 23:36:19,-46.653000  -23.595778  -46.652000  -23.594778,Vila Clementino,-46.653,-23.595778,-46.652,-23.594778
21/06/2026 23:36:30,-46.649667  -23.593278  -46.648667  -23.592278,Vila Clementino,-46.649667,-23.593278,-46.648667,-23.592278
21/06/2026 23:36:52,-46.646889  -23.593833  -46.645889  -23.592833,Vila Clementino,-46.646889,-23.593833,-46.645889,-23.592833
21/06/2026 23:38:15,-46.661333  -23.601333  -46.660333  -23.600333,Moema,-46.661333,-23.601333,-46.660333,-23.600333
21/06/2026 23:38:33,-46.661056  -23.602722  -46.660056  -23.601722,Moema,-46.661056,-23.602722,-46.660056,-23.601722
22/06/2026 00:06:33,-46.778556  -23.482167  -46.777556  -23.481167,OSASCO,-46.778556,-23.482167,-46.777556,-23.481167
