Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro,Estado
05/09/2026 22:34:30,-38.644389	-12.763556	-38.643389	-12.762556,Ilha de Bom Jesus dos Passos,Bahia
05/09/2026 22:35:03,-49.221333	-16.633000	-49.220333	-16.632000,Vila Maria Rosa,Goiás
05/09/2026 22:35:33,-36.471889	-8.834667	-36.470889	-8.833667,São Pedro,Pernambuco
05/09/2026 22:36:57,-50.003556	-6.118278	-50.002556	-6.117278,Parauapebas,Pará
05/09/2026 22:37:28,-41.083278	-20.399944	-41.082278	-20.398944,Venda Nova do Imigrante,Espírito Santo
05/09/2026 22:38:04,-54.448278	-20.762167	-54.447278	-20.761167,Campo Grande,Mato Grosso do Sul
05/09/2026 22:38:10,-53.883833	-21.288556	-53.882833	-21.287556,Anhanduí,Mato Grosso do Sul
05/09/2026 22:42:36,-43.956056	-19.963556	-43.955056	-19.962556,São Bento,Minas Gerais
05/09/2026 22:42:39,-43.935500	-19.973278	-43.934500	-19.972278,Belvedere,Minas Gerais
05/09/2026 22:42:44,-43.912444	-19.953556	-43.911444	-19.952556,Mangabeiras,Minas Gerais
05/09/2026 22:43:01,-51.182722	-30.189667	-51.181722	-30.188667,Ponta Grossa,Rio Grande do Sul
05/09/2026 22:43:36,-38.322722	-12.908833	-38.321722	-12.907833,Aeroporto,Bahia
05/09/2026 22:43:41,-38.436056	-12.963000	-38.435056	-12.962000,Centro Administrativo da Bahia,Bahia
05/09/2026 22:43:56,-38.453833	-12.984389	-38.452833	-12.983389,Caminho das Árvores,Bahia
05/09/2026 22:44:18,-38.516056	-3.731333	-38.515056	-3.730333,Centro,Ceará
05/09/2026 22:44:40,-49.256056	-16.697444	-49.255056	-16.696444,Setor Sul,Goiás
05/09/2026 22:44:45,-49.258556	-16.704667	-49.257556	-16.703667,Setor Marista,Goiás
05/09/2026 22:45:21,-34.882167	-8.089944	-34.881167	-8.088944,Brasília Teimosa,Pernambuco
05/09/2026 22:45:27,-34.964389	-8.062444	-34.963389	-8.061444,UR-07,Pernambuco
05/09/2026 22:46:21,-54.722167	-16.588556	-54.721167	-16.587556,Rondonópolis,Mato Grosso
05/09/2026 22:46:44,-53.968556	-21.502167	-53.967556	-21.501167,Anhanduí,Mato Grosso do Sul
