Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
13/07/2026 20:05:34,"22°54'36""S 43°9'45""W",Centro
13/07/2026 20:06:39,"13°0'33""S 38°31'13""W",Barra
13/07/2026 20:07:01,"3°49'31""S 38°28'17""W",Lagoa Redonda
