epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49729,1.33875,3.44081,1.55389,0.00333,1,0.78755,0.35795,1.19157,3.8487,1.39824,0.00022,0.00022,0.00022
2,10.6053,1.2616,2.83169,1.41195,0.00333,1,0.53419,0.23061,1.49693,4.27332,1.81388,0.000455446,0.000455446,0.000455446
3,13.8654,1.199,2.44955,1.37912,0.00333,1,0.10347,0.0249,1.40554,4.16809,1.80007,0.00068614,0.00068614,0.00068614
4,19.9501,1.30761,2.50003,1.46221,0.00333,1,0.10496,0.02405,1.6285,4.21353,2.32891,0.000912082,0.000912082,0.000912082
5,23.1507,1.30643,2.37695,1.45416,0.70472,0.5,0.62599,0.25177,1.49989,3.78672,2.22127,0.00113327,0.00113327,0.00113327
6,26.3693,1.1393,2.16284,1.34055,0.53753,0.61765,0.59801,0.22366,1.9758,3.63872,2.48687,0.00134971,0.00134971,0.00134971
7,30.1409,1.17995,2.07164,1.38393,0.69214,0.66148,0.72248,0.39509,2.08745,3.87251,2.39131,0.0015614,0.0015614,0.0015614
8,33.6638,1.23372,2.04197,1.42464,0.61874,0.67647,0.6568,0.34301,2.12765,6.17839,3.11529,0.00176833,0.00176833,0.00176833
9,37.2725,1.13641,2.91331,1.32929,0.55293,0.52941,0.53913,0.40736,0.98802,5.45292,1.39769,0.0018416,0.0018416,0.0018416
10,40.3474,1.3384,2.27816,1.50257,0.40471,0.70588,0.47391,0.21711,1.29899,6.1825,1.74868,0.0018218,0.0018218,0.0018218
11,43.8705,1.18071,1.79883,1.38595,0.76741,0.77656,0.82108,0.49432,1.13199,3.91491,1.54609,0.001802,0.001802,0.001802
12,48.1803,1.22028,1.84931,1.38858,0.88996,0.85294,0.94225,0.62136,1.22663,2.71483,1.6258,0.0017822,0.0017822,0.0017822
13,51.2702,1.04673,1.74023,1.30718,0.66067,0.70588,0.76668,0.5395,1.12089,3.94326,1.46041,0.0017624,0.0017624,0.0017624
14,54.456,1.28148,1.7562,1.43868,0.6223,0.73529,0.69384,0.43846,1.38986,4.92042,1.50017,0.0017426,0.0017426,0.0017426
15,58.2968,1.16273,1.74585,1.38501,0.61792,0.61765,0.6849,0.44119,1.14345,5.28366,1.65445,0.0017228,0.0017228,0.0017228
16,61.991,1.25593,1.62959,1.42689,0.73765,0.82706,0.84784,0.68331,1.0049,2.63476,1.38527,0.001703,0.001703,0.001703
17,65.0664,1.00639,1.33856,1.26892,0.86042,0.90666,0.91711,0.71703,1.25973,1.98254,1.82544,0.0016832,0.0016832,0.0016832
18,68.3186,1.08463,1.4058,1.30292,0.78672,0.75955,0.78537,0.39386,1.79253,2.09036,1.84103,0.0016634,0.0016634,0.0016634
19,72.1709,1.11933,1.52676,1.29587,0.70022,0.91176,0.83563,0.45339,0.98729,3.64752,1.28498,0.0016436,0.0016436,0.0016436
20,76.0208,1.06084,1.39735,1.30446,0.7654,0.79412,0.86175,0.66959,0.91216,3.10631,1.26552,0.0016238,0.0016238,0.0016238
21,79.2316,1.14518,1.43591,1.3661,0.73165,0.76471,0.73739,0.51565,1.48413,2.08999,1.99724,0.001604,0.001604,0.001604
22,82.0525,1.07221,1.35467,1.31136,0.69384,0.97059,0.88565,0.64462,1.09111,1.82124,1.38026,0.0015842,0.0015842,0.0015842
23,86.6615,1.05087,1.31589,1.31732,0.92982,0.79412,0.95475,0.61058,0.81983,1.70542,1.19294,0.0015644,0.0015644,0.0015644
24,89.8884,1.06049,1.25978,1.29543,0.93501,0.8465,0.95814,0.79485,0.80869,1.92297,1.19146,0.0015446,0.0015446,0.0015446
25,93.1933,1.01484,1.25075,1.29382,0.79399,0.94118,0.89018,0.68249,0.96766,2.24272,1.32467,0.0015248,0.0015248,0.0015248
26,96.2566,1.05595,1.22206,1.31458,0.6998,0.91176,0.85786,0.70831,0.86223,1.56857,1.18575,0.001505,0.001505,0.001505
27,100.373,0.98915,1.16227,1.22379,0.85642,0.70187,0.80673,0.62533,0.88451,2.05156,1.3095,0.0014852,0.0014852,0.0014852
28,103.684,0.98015,1.13905,1.2108,0.80076,0.85294,0.91029,0.70258,1.15088,1.69647,1.34542,0.0014654,0.0014654,0.0014654
29,107.091,0.97437,1.16932,1.27498,0.93707,0.87608,0.96838,0.78807,0.86325,1.17351,1.21147,0.0014456,0.0014456,0.0014456
30,110.241,0.98965,1.07765,1.27121,0.51764,0.64706,0.56804,0.34357,1.16425,2.37134,1.55768,0.0014258,0.0014258,0.0014258
31,114.278,1.01946,1.18553,1.27132,0.86492,0.85294,0.93227,0.73313,0.9514,1.09438,1.32354,0.001406,0.001406,0.001406
32,117.605,1.03885,1.24958,1.33514,0.64054,0.67647,0.67174,0.41343,1.61875,1.81293,2.0849,0.0013862,0.0013862,0.0013862
33,120.839,1.01975,1.24987,1.33471,0.67928,0.85294,0.80612,0.5547,1.23442,1.74096,1.6874,0.0013664,0.0013664,0.0013664
34,124.052,0.96709,1.16756,1.23639,0.7098,0.73529,0.78354,0.50926,1.3115,1.74007,1.67382,0.0013466,0.0013466,0.0013466
35,128.266,0.88602,1.14224,1.17915,0.87426,0.81812,0.91595,0.61258,1.26739,2.12,1.47947,0.0013268,0.0013268,0.0013268
36,131.638,0.85338,1.00309,1.14429,0.83912,0.85294,0.94456,0.7048,1.05126,1.71234,1.27127,0.001307,0.001307,0.001307
37,134.766,0.83496,0.95887,1.12517,0.96264,0.85294,0.96086,0.76218,0.87526,1.35071,1.20546,0.0012872,0.0012872,0.0012872
38,138.318,0.92623,1.02814,1.22192,0.91333,0.93007,0.96457,0.77383,0.92176,1.19908,1.18438,0.0012674,0.0012674,0.0012674
39,142.303,0.85032,0.95768,1.16616,0.96614,0.91176,0.96251,0.81431,0.76401,1.17359,1.12943,0.0012476,0.0012476,0.0012476
40,145.492,0.8319,0.96723,1.16998,0.88632,0.91733,0.95576,0.81114,0.90316,1.17884,1.1833,0.0012278,0.0012278,0.0012278
41,148.87,0.89251,0.98543,1.18233,0.86856,0.97179,0.96946,0.80537,0.95319,1.05578,1.22737,0.001208,0.001208,0.001208
42,152.662,0.79509,0.90283,1.14097,0.84083,0.85294,0.8882,0.74662,1.02625,1.19843,1.34009,0.0011882,0.0011882,0.0011882
43,156.322,0.83789,0.92098,1.15195,0.86503,0.97059,0.95057,0.76312,0.77508,0.79965,1.12107,0.0011684,0.0011684,0.0011684
44,159.547,0.83483,0.89087,1.14172,0.87522,0.79412,0.89664,0.73431,0.88285,1.14127,1.20909,0.0011486,0.0011486,0.0011486
45,162.527,0.84028,0.98976,1.19452,0.76199,0.84759,0.80745,0.60896,0.85289,1.26039,1.15229,0.0011288,0.0011288,0.0011288
46,166.704,0.7915,0.93773,1.12963,0.86804,0.9674,0.9677,0.8139,0.82912,0.89065,1.13441,0.001109,0.001109,0.001109
47,170.4,0.81455,0.94284,1.15185,0.6709,0.83959,0.76351,0.55937,1.09664,1.4033,1.32427,0.0010892,0.0010892,0.0010892
48,173.676,0.84747,0.9391,1.18127,0.76874,0.97059,0.88844,0.69738,0.64647,1.09615,1.08954,0.0010694,0.0010694,0.0010694
49,176.925,0.83403,0.93909,1.13314,0.96938,0.93137,0.98458,0.82921,0.58765,0.80215,1.03052,0.0010496,0.0010496,0.0010496
50,181.289,0.78834,0.84255,1.1362,0.82258,0.91176,0.9164,0.72842,0.64337,1.54952,1.05757,0.0010298,0.0010298,0.0010298
51,184.715,0.74589,0.79418,1.08872,0.80814,0.99124,0.93388,0.7125,0.80738,1.00585,1.164,0.00101,0.00101,0.00101
52,187.79,0.83072,0.93017,1.1525,0.89241,0.85294,0.94583,0.71062,0.81367,0.8651,1.13533,0.0009902,0.0009902,0.0009902
53,190.968,0.81524,0.90639,1.13052,0.83295,0.87998,0.91854,0.75173,0.80931,0.95705,1.19202,0.0009704,0.0009704,0.0009704
54,195.136,0.73769,0.77072,1.07741,0.80766,0.86474,0.91218,0.73964,0.74925,1.0517,1.12709,0.0009506,0.0009506,0.0009506
55,198.787,0.72655,0.79179,1.09127,0.81763,0.82353,0.87305,0.68969,0.88817,1.46523,1.18799,0.0009308,0.0009308,0.0009308
56,201.988,0.72605,0.74684,1.05626,0.97025,0.95956,0.98869,0.82786,0.60188,0.83384,1.02378,0.000911,0.000911,0.000911
57,205.271,0.72403,0.72397,1.08778,0.87723,0.79412,0.89264,0.75386,0.74062,1.00466,1.10713,0.0008912,0.0008912,0.0008912
58,209.551,0.70036,0.72547,1.05429,0.94186,0.85294,0.96872,0.80178,0.59495,1.30037,1.04435,0.0008714,0.0008714,0.0008714
59,212.854,0.75787,0.74008,1.10276,0.9704,0.96436,0.9925,0.82249,0.69164,1.07603,1.09527,0.0008516,0.0008516,0.0008516
60,216.01,0.73989,0.76173,1.05652,0.93281,0.97059,0.98845,0.83259,0.75707,0.76287,1.10536,0.0008318,0.0008318,0.0008318
61,219.709,0.74673,0.72603,1.09535,0.94399,1,0.98843,0.8218,0.81223,0.76568,1.13394,0.000812,0.000812,0.000812
62,223.834,0.76954,0.74427,1.12096,0.9424,0.96258,0.98853,0.83353,0.76184,0.78002,1.11479,0.0007922,0.0007922,0.0007922
63,227.092,0.66161,0.69125,1.0385,0.96641,1,0.99357,0.8709,0.59776,0.53391,0.99949,0.0007724,0.0007724,0.0007724
64,230.296,0.67947,0.65461,1.0422,0.94434,0.99814,0.99124,0.85465,0.57487,0.52398,1.00377,0.0007526,0.0007526,0.0007526
65,234.485,0.71723,0.69025,1.08465,0.91622,0.96503,0.97919,0.77787,0.65804,0.79097,1.06274,0.0007328,0.0007328,0.0007328
