epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.948,1.04055,1.1428,1.26736,0.82927,0.99998,0.96137,0.72129,1.55567,1.31303,1.78793,0.0011882,0.0011882,0.0011882
43,164.032,1.00789,1.14111,1.26928,0.82738,1,0.94855,0.7344,1.11395,1.45756,1.47958,0.0011684,0.0011684,0.0011684
44,166.876,0.93013,1.0756,1.18257,0.96967,0.94118,0.98919,0.81824,0.844,0.93149,1.19029,0.0011486,0.0011486,0.0011486
45,169.786,0.86379,1.07721,1.19661,0.93836,0.89569,0.97411,0.81289,0.79152,0.98475,1.16949,0.0011288,0.0011288,0.0011288
46,172.655,0.9282,1.03906,1.19113,0.91357,0.91176,0.97186,0.82127,0.75981,1.11645,1.17038,0.001109,0.001109,0.001109
47,176.498,0.86863,1.02837,1.17245,0.94241,0.96275,0.9863,0.82989,0.80869,1.0038,1.20689,0.0010892,0.0010892,0.0010892
48,179.497,0.88113,0.97429,1.1679,0.9593,1,0.97757,0.8072,0.84126,1.30064,1.17614,0.0010694,0.0010694,0.0010694
49,182.348,0.84513,0.95756,1.15545,0.9303,1,0.97024,0.76664,0.89757,1.40499,1.18727,0.0010496,0.0010496,0.0010496
50,184.95,0.88617,0.973,1.18353,0.89588,0.94118,0.95075,0.72216,0.80837,1.84476,1.16777,0.0010298,0.0010298,0.0010298
51,188.556,0.83754,0.9671,1.15686,0.97043,0.96543,0.99124,0.8335,0.82615,1.18168,1.19155,0.00101,0.00101,0.00101
52,192.073,0.81638,0.93351,1.15758,0.94261,0.94118,0.98768,0.81328,0.87174,1.05272,1.26913,0.0009902,0.0009902,0.0009902
53,194.963,0.82635,0.96819,1.16642,0.93779,0.94118,0.98318,0.82294,0.81516,1.01769,1.23817,0.0009704,0.0009704,0.0009704
54,197.674,0.79587,0.86731,1.14397,0.9699,0.94795,0.99301,0.87712,0.65345,0.84361,1.07485,0.0009506,0.0009506,0.0009506
55,200.724,0.74663,0.82657,1.10306,0.75252,0.82353,0.87309,0.72319,0.68653,1.02626,1.05798,0.0009308,0.0009308,0.0009308
56,204.712,0.79247,0.92949,1.14022,0.91007,0.94118,0.9793,0.8348,0.66182,0.71012,1.03773,0.000911,0.000911,0.000911
57,207.814,0.79024,0.85221,1.11254,0.96384,0.97059,0.99036,0.84055,0.73788,0.67053,1.09787,0.0008912,0.0008912,0.0008912
58,210.809,0.79523,0.92904,1.1526,0.91382,1,0.98543,0.83305,0.78122,0.67194,1.14973,0.0008714,0.0008714,0.0008714
59,213.669,0.79667,0.81504,1.13978,0.94901,0.88235,0.96248,0.76541,1.12557,1.28597,1.33675,0.0008516,0.0008516,0.0008516
